Frequency_Hz,Gain,Input_mVpp,Output_Vpp,Gain_dB
30.0,25.24271845,10.3,0.26,28.04272246648217
40.0,33.39805825,10.3,0.344,30.474424356695916
50.0,37.86407767,10.3,0.39,31.564547646448812
60.0,45.82524272,10.3,0.472,33.222095478872745
70.0,53.39805825,10.3,0.55,34.55050929538662
100.0,70.67961165,10.3,0.728,36.985883092097644
200.0,135.9223301,10.3,1.4,42.66581621964744
300.0,200.0,10.3,2.06,46.020599913279625
400.0,254.368932,10.3,2.62,48.10928133096538
600.0,349.5145631,10.3,3.6,50.86930552107341
750.0,407.7669903,10.3,4.2,52.20824131404069
1000.0,471.8446602,10.3,4.86,53.475980891249655
1500.0,559.223301,10.3,5.76,54.95170517481319
2000.0,598.0582524,10.3,6.16,55.53486974879025
3000.0,629.1262136,10.3,6.48,55.97475562341565
4000.0,644.6601942,10.3,6.64,56.18661709359702
5000.0,644.6601942,10.3,6.64,56.18661709359702
7000.0,647.5728155,10.3,6.67,56.22577218377175
8500.0,647.5728155,10.3,6.67,56.22577218377175
10000.0,647.5728155,10.3,6.67,56.22577218377175
15000.0,647.5728155,10.3,6.67,56.22577218377175
20000.0,644.6601942,10.3,6.64,56.18661709359702
30000.0,631.0679612,10.3,6.5,56.00152263923473
40000.0,613.592233,10.3,6.32,55.75759707140682
50000.0,594.1747573,10.3,6.12,55.478283949077436
60000.0,578.6407767,10.3,5.96,55.24818070071586
70000.0,555.3398058,10.3,5.72,54.891176081362225
80000.0,530.0970874,10.3,5.46,54.48710836034128
90000.0,504.8543689,10.3,5.2,54.06332237804132
100000.0,485.4368932,10.3,5.0,53.72265559254744
125000.0,433.0097087,10.3,4.46,52.72995267937986
150000.0,388.3495146,10.3,4.0,51.78445533328096
200000.0,314.5631068,10.3,3.24,49.95415571013603
250000.0,264.0776699,10.3,2.72,48.43463358648472
300000.0,227.184466,10.3,2.34,47.12757265335703
400000.0,178.6407767,10.3,1.84,45.039611966134494
500000.0,143.6893204,10.3,1.48,43.14848981449997
700000.0,102.9126214,10.3,1.06,40.249372814633546
1000000.0,70.87378641,10.3,0.73,37.009712708579336
