R,T_K,T_C,Delta_f,V_rms_uV
10 kOhm,273,0,1 kHz,0.3883
10 kOhm,273,0,10 kHz,1.2279
10 kOhm,273,0,20 kHz,1.7365
10 kOhm,293,20,1 kHz,0.4023
10 kOhm,293,20,10 kHz,1.2721
10 kOhm,293,20,20 kHz,1.799
10 kOhm,373,100,1 kHz,0.4539
10 kOhm,373,100,10 kHz,1.4352
10 kOhm,373,100,20 kHz,2.0297
47 kOhm,273,0,1 kHz,0.8418
47 kOhm,273,0,10 kHz,2.662
47 kOhm,273,0,20 kHz,3.7646
47 kOhm,293,20,1 kHz,0.8721
47 kOhm,293,20,10 kHz,2.7577
47 kOhm,293,20,20 kHz,3.9
47 kOhm,373,100,1 kHz,0.984
47 kOhm,373,100,10 kHz,3.1115
47 kOhm,373,100,20 kHz,4.4004
1e+02 kOhm,273,0,1 kHz,1.2279
1e+02 kOhm,273,0,10 kHz,3.8829
1e+02 kOhm,273,0,20 kHz,5.4912
1e+02 kOhm,293,20,1 kHz,1.2721
1e+02 kOhm,293,20,10 kHz,4.0226
1e+02 kOhm,293,20,20 kHz,5.6888
1e+02 kOhm,373,100,1 kHz,1.4352
1e+02 kOhm,373,100,10 kHz,4.5386
1e+02 kOhm,373,100,20 kHz,6.4186
4.7e+02 kOhm,273,0,1 kHz,2.662
4.7e+02 kOhm,273,0,10 kHz,8.4179
4.7e+02 kOhm,273,0,20 kHz,11.9047
4.7e+02 kOhm,293,20,1 kHz,2.7577
4.7e+02 kOhm,293,20,10 kHz,8.7208
4.7e+02 kOhm,293,20,20 kHz,12.333
4.7e+02 kOhm,373,100,1 kHz,3.1115
4.7e+02 kOhm,373,100,10 kHz,9.8395
4.7e+02 kOhm,373,100,20 kHz,13.9152
1 MOhm,273,0,1 kHz,3.8829
1 MOhm,273,0,10 kHz,12.2787
1 MOhm,273,0,20 kHz,17.3647
1 MOhm,293,20,1 kHz,4.0226
1 MOhm,293,20,10 kHz,12.7205
1 MOhm,293,20,20 kHz,17.9896
1 MOhm,373,100,1 kHz,4.5386
1 MOhm,373,100,10 kHz,14.3525
1 MOhm,373,100,20 kHz,20.2974
